undefinedबाग;garden, park - Baag
समय;time, duration - samay
पर्वत ;mountain, hill - parvaT
सुन्दर;beautiful, pretty, lovely - sunDar
हार ;defeat - haar
नींव;foundation - neenv
जोड;joint - jod
लोहा;iron - loha
स्तम्भ;pillar - sTambh
जंग;rust - jung	
सजाना;to decorate - sajaana
जीत;victory - jeeT
स्मारक;monument - smaarak
तीव्र;intense - TeevR
बारीक ;intricate - baareek
प्रसिद्ध;popular - prasidha
कारीगरी;workmanship, artistry - kaarigari
श्रद्धांजलि;homage, tribute - shradhhanjali
शामिल;involved - shaamil
गैरकानूनी;illegitimate, unlawful - gaerkaanuni
दर्जा;position, status - Darjaa
राजमार्ग ;highway, trunk road - raajmaarg
सुविधाजनक ;convenient, facilitative - suviDHajanak
श्रृंखला ;line, section - SHrinKHala
पूर्वज;ancestor, forefather - purvaj
अनिवार्य;essential, inevitable, compulsary, necessary - anivaarya
सहिष्णु;tolerant, forbearing - sahiSHNu
अभाव;shortage, scarcity, lack - aBHaav
न्यायिक ;impartial, judicial - nyaayik
रूढ़िवादी;conservative, fossilized - rudivaaDi
सैन्य;military - saenya
जिम्मेदारियां ;responsibility, burden, liability - ZimmeDaariyan
अलग-अलग;divide, individual, several - alag-alag
संवाददाता;reporter, correspondent, newswriter - sanvaaDaaTa
सलाहकार;counsellor, advisor - salaahkaar
मिसाल;sample, illustration - misaal
संस्थापक;founder, constitutor - sansTHapak
 विरुद्ध;against, versus - viruDH
विकसित;developed, advanced - viksiT
उत्तराधिकार;inheritance, succession, heritage  - uTTradhikaar
महान;great, supreme  - mahaan 
धर्मान्ध;bigot, hard and fast - DHarmaanDH
पुरोहित संबंधी ;priestly - purohiT sambanDHii 
विवादास्पद;arguable, controversial, debatable - vivaaDaspaD
भड़काना;instigate, inflame - BHadkaana
संभाषण;conversation, discourse - samBHaaSHaN
दोबारा;again, afresh - Dobaara
खबर;message, communication, information  - KHabar
अवगत;aware - avgaT
सहमत;consentient, agreed, concurrent - sahmaT
बंदी;captive, detainee - banDii
आदेश;order, dictate, directions - aaDeSH
अस्वीकार;disapprove, refusal - asviikaar 
अधिकतर;mostly, almost - aDHikTar
रंगीन;colored - rangeen
बिगाड़;spoil - bigaad
दशक;contrary, inverse, opposite - DaSHak
अव्वल;topper - avval
चिड़चिड़ा;moody, irritable, grumpy - CHidCHida
मुद्दा;focus, point, issue - muDDaa
प्रचलित;prevailing, in force, usual - PRaCHaliT
व्यंग्य;sarcasm, satire - vyang
 बाधा;obstacle - baaDHa
आत्महत्या;suicide - aaTmahaTyaa
विपरीत;contrary, inverse, opposite - vipriiT
गायब होना;disappear - gaayab hona
दौर;period, trend - Daur
चित्रण;description, depiction, portrayal - chitraN
पुरस्कार;award, prize - puraskaar
अन्तर्राष्ट्रीय;international, transnational - anTarRashtriya
अभिनय;acting - abhinaye
दरिद्रता ;poverty - daridraTa
मोह लेना;captivate - moh lenaa
आधारित;based on - aaDHariT
जब्त;confiscated - zabT
संकल्प ;resolution, determination, vow, decision - sankalp
सुविख्यात;well-known - suviKHyaaT
पतन;ruin, collapse, downfall - paTan
प्रांत;province, territory - praanT
संगमरमर;marble - sangmarmar
स्थानांतरित ;transposed - sTHaananTariT
लाभ;advantage, profit  - laaBH
सूरज ;sun - suraj
नियंत्रण;control - niyanTran
दर्शाना;represent - Darshana
समर्पित करना;dedicate - samarpiT karna
चक्र;wheel, sphere - chakra
मशहूर;to be famous, to be renowned - mashhoor
ज़ख्म ;injury, incision   - zaKHm
अंगरक्षक;bodyguard, gaurd - angrakSHak
साक्षरता;literacy - saakSHarTa
बेईमान;dishonest, fraudulent - bayimaan
प्रभाव;impact, effect - praBHaav
आपातकाल;emergency - aapaaTkaal
कार्यकाल;tenure - kaaryakaal
निर्वाचित;elected - nirvaachiT
उपनाम;tag, alias, nickname, subtitle - upnaam
अनौपचारिक;informal, casual, unofficial - anopCHaarik
विजयी;triumphant - viJayi
विलय;merger - vilay
विश्व;world - vishv
चरम;climax - CHaram
सफेद;white - safeD
शादी;marriage - SHaaDii
सिर;head - sir
परंतु;but - paranTu
बर्फ ;snow, ice - barf
सुंदरता;beauty - sunDarTa
बिखरा हुआ;scattered - bikhra hua
छज्जा;balcony, gallery - Chhajja
वाह;Wow! - vaah
स्थित;situated - sthiT
चोटी;peak - chotea
संस्कृति;culture - sanskriTi
शाही;royal - shaahi
जुलूस;procession - juloos
शानदार;spectacular - shaanDaar
भक्त;believer, devotee - bhakT
हवा;air, wind - hawa
परिवार;family - parivaar
रथ;chariot - Rath
आग;fire - aag
कठिन;difficult - kaTHin
कानून;law - kaanoon
चांदी;silver - chaanDi
निर्देशक;director - nirDayshak
मधुमक्खी;bee - maDHumakkhi
शतरंज;chess - shaTranj
विभाजन ;partition - vibhaajan
गोद;lap, hug - goD
छुट्टी;holiday, break - chhutti
पवित्र;sacred, pure, spiritual - paviTr
पहली;debut - pehli 
सच्चा;genuine - sachha
अनुपस्थिति;absence - anupasTithi
अत्यंत;extremely, deeply - aTyanT
नवोदित ;young - navoDiT
भूमिका;character  - bhumika 
प्रतीक्षा;wait, anticipation - praTiiksha
परिणाम;consequence, result, outcome - pariNaam
संबंध;connection, relation, association - sambanDH
परिवर्तन;change, transformation - parivarTan
आध्यात्मिक;spiritual - aadhyaTmik
योद्धा;warrior - yoDHHa
अहिंसा;nonviolence - ahinsaa
वंश;dynasty - vanSH
अनुभव;experience - anuBHav
विजेता;winner, champion - vijayTaa
विवरण;description, overview, briefing - vivraN
आधुनिक;modern, upto date, trendy - aaDHunik
स्थिर;constant, stable - sTHir
प्रशासन;affairs, administration - praSHaasan
प्रशासनिक;administrative - praSHaasnik
वृद्धि;rise, advancement, increase  - vriDHi
वयस्क;adult, grown up - vyask
रणनीति ;strategy, tactic - raNaniiti
हालात;circumstances - haalaat
संपर्क;contact, connection - sampark
अखबार;newspaper, journal - akhbaar
शरण;shelter, refuge, protection  - sharaN
प्रतिरोधी;rival, hostile - praTirodhi
भीड़;crowd, gathering - bheed
नरसंहार;massacre, blood bath - narsanhaar
सच्चाई;truth, authenticity - sachchaayi
दर्दनाक;painful, sore - DarDnaak
खिताब;title  - KHiTaab
पीड़ित;downcast, miserable - piidiT
अनुसंधान;research, investigation - anusanDHaan
व्यवसायी;businessman, practitioner - vyavsaayi
जिज्ञासा;curiosity, inquisitiveness  - jigyaasa
अनुरोध;request, recommendation - anuroDH
इंकार;denial  - inkaar
पता ;trace, clue, find out - paTaa
स्मृति;memory, retention  - smriTi
क्लासिक;classic - klaasik
जेबकतरा ;pickpocket - jayBkaTra
