undefinedसात;seven - saaT
आठ;eight - aaTH
नौ;nine - nau
नवम्बर;November - Navambar
दिसम्बर;December - diSambar
पानी ;water - paanii
चिकन;chicken - CHikan
कर्मचारी ;employee, worker - karmacaarii
डॉक्टर ;doctor - daaktar
प्रोग्रामर;programmer - undefined
हँसना;laugh - haSNaa
करना;do  - karnaa
जाना;go - undefined
दूर;far - Door
छोटा;small - chotaa
आसान;easy - aasaan
साल;year - SaaL
कल;tomorrow - undefined
छोटा;small  - CHotaa
नवम्बर;November - Navambar
दिसम्बर;December - diSambar
अक्टूबर;October - akTuubar
अगस्त;August - agaST
अच्छा;good - acchaa
अप्रैल;April - aprail
अलविदा|;Goodbye. - aLviDaa.
आज;today - aaj
आना;come - aaNaa
आप कैसे हैं?;How are you? - aap kaiSe hain?
आपसे मिलकर ख़ुशी हुई|;Nice to meet you. - aap Se miLkar khusii huii.
इंजीनियर;engineer - iNjiiNiyar
इतवार;Sunday - iTvaar
उंगली;finger - ungalee
उपयोग करना;use - upayog karNaa
कठिन;difficult - kathiN
कल;tomorrow - kal
कल;yesterday - kal
कैलेंडर;calendar - kailendar
कॉफी;coffee - kaufee
गुरुवार;Thursday - guruvaar
गोमांस;beef - gomaanS
गोश्त;lamb - gosT
घंटा;hour - ghaNtaa
घड़ी;clock - ghadii
चाय;tea - chaay
छे;six - che
जनवरी;January - jaNvarii
जाना;go - jaaNaa
जुलाई;July - julaaii
जून;June - juuN
दस;ten - Das
देखना;see - dekhNaa
धन्यवाद|;Thank you! - DHaNyavaaD.
नमस्ते|;Hello. - NamaSTe.
नमस्ते|;Good afternoon. - NamaSTe.
नर्स;nurse - nars
नहीं|;No. - Nahiin.
पाँव;foot - paanv
पास;near - paas
पीठ;back - piith
पुलिस अधिकारी;police officer - puLiS aDHikaarii
पेट;stomach - pet
पैर;leg - pair
प्रोग्रामर;programmer - prograamar
फरवरी;February - pharvarii
बजे;o'clock - baje
बदसूरत;ugly - baDSuuraT
बनाना;make - baNaaNaa
बाँह;arm - baanh
बियर;beer - biyar
बुधवार;Wednesday - buDHvaar
बुरा;bad - buraa
मंगलवार;Tuesday - mangaLvaar
मई;May - maii
मछली;fish - machhalee
मार्च;March - maarc
मिनट;minute - minaT
मैं ... हूँ|;I'm...(name). - main ... huun.
मैनेजर;manager - maiNejar
रसोइया;cook - raSoiyaa
वाइन;wine - waain
विक्रेता;salesman - vikreTaa
शनिवार;Saturday - saNivaar
शरीर;body - sariir
शिक्षिका;teacher - siksikaa
शुक्रवार;Friday - sukravaar
शुभ रात्री|;Good night. - subh raaTrii.
शुभ संध्या|;Good evening. - subh SaNDHyaa.
शून्य;zero - SHoonya
सकना;can - SakNaa
सर;head - sar
सितम्बर;September - SiTambar
सीना;chest - SiiNaa
सुंदर;beautiful - SuNDar
सुप्रभात|;Good morning. - SuprabhaaT.
सूअर का मांस;pork - suar ka maans
सेकंड;second - SekaNd
सोमवार;Monday - Somvaar
स्वादिष्ट!;Delicious! - swaaDist
हफ्ता;week - hafTaa
हाँ|;Yes. - haan.
हाथ;hand - haaTH
धन्यवाद|;Thank you! - DHaNyavaaD.
नहीं|;No. - Nahiin.
अलविदा|;Goodbye. - aLviDaa.
हाँ|;Yes. - haan.
नमस्ते|;Hello. - NamaSTe.
नमस्ते|;Good afternoon. - NamaSTe.
मई;May - maii
बदसूरत;ugly - baDSuuraT
बुरा;bad - buraa
वाइन;wine - waain
गोमांस;beef - gomaans
सूअर का मांस;pork - suar ka maans
रसोइया;cook - raSoiyaa
शिक्षिका;teacher - siksikaa
विक्रेता;salesman - vikreTaa
जनवरी;January - jaNvarii
फरवरी;February - pharvarii
अप्रैल;April - aprail
जून;June - juuN
जुलाई;July - julaaii
अगस्त;August - agaST
सितम्बर;September - SiTambar
अक्टूबर;October - akTuubar
कॉफी;coffee - kaufee
नर्स;nurse - nars
पुलिस अधिकारी;police officer - puLiS aDHikaarii
इंजीनियर;engineer - iNjiiNiyar
आप कैसे हैं?;How are you? - aap kaiSe hain?
स्वादिष्ट!;Delicious! - swaaDist
मैं ... हूँ|;I'm...(name). - main ... huun.
सकना;can - SakNaa
अच्छा;good - acchaa
सुंदर;beautiful - SuNDar
आसान;easy - aasaan
कल;yesterday - kal
बनाना;make - baNaaNaa
कर्मचारी;employee - karmcaarii
छे;six - che
हफ्ता;week - hafTaa
कैलेंडर;calendar - kailendar
सोमवार;Monday - Somvaar
मंगलवार;Tuesday - mangaLvaar
बुधवार;Wednesday - buDHvaar
गुरुवार;Thursday - guruvaar
शुक्रवार;Friday - sukravaar
शनिवार;Saturday - saNivaar
इतवार;Sunday - iTvaar
सेकंड;second - SekaNd
घंटा;hour - ghaNtaa
मिनट;minute - minaT
बजे;o'clock - baje
घड़ी;clock - ghadii
पाँव;foot - paanv
पैर;leg - pair
शरीर;body - sariir
पेट;stomach - pet
पीठ;back - piith
सर;head - sar
उंगली;finger - ungalee
सीना;chest - SiiNaa
आज;today - aaj
