undefinedचार;four - CHaar
पाँच;five - paanCH
सात;seven - saaT
आठ;eight - aaTH
नौ;nine - nau
डॉक्टर ;doctor - daaktar
करना;do  - karnaa
दूर;far - Door
बीस;twenty - biis
चाहना;want - chahanaa
अस्पताल;hospital - aspaTaal
एक सौ ;one hundred - ek sau
स्नानघर;bathroom - snaanghar
दो सौ;two hundred - Do sau
स्वादिष्ट;delicious - swaaDisht
महंगा;expensive - mahangaa 
आलू;potato - aaloo
बर्फ;snow - barf
ठंडा;cold - thandaa
मौसम;weather - mausam
ट्रेन;train - tren
कार;car - kaar
मोटरसाइकिल;motorcycle  - motarsaaikil 
कागज़;paper - kaagaz
अंग्रेजी;English - angrezii
दवा;medicine - davaa
खुलना;to open (self) - khuLNaa
बंद होना;to close - baND hoNaa
परोसना;to serve - parosanaa
प्रदर्शन;show - pradarshan
तीखा;hot, spicy - Teekha
गर्म;hot (temperature) - garam
अमेरिकन;American - amarikan
कैसे;how - kaise
टिकट;ticket - tikat
शौचालय;toilet - SHauCHaalay
क्या;what - kyaa
कहाँ;where - kahaan
अनुवाद करना;to translate - anuvaaD karnaa
खींचना;to take (a picture) - KHiinCHnaa
लौटना;to return - lautnaa
आदमी;man  - aaDmii
पोस्ट-कार्ड ;postcard - post-kaard
पार्सल;package - paarsal
अकेला;alone, single - akelaa
रात;night - raaT
अक्षर विन्यास करना;to spell - aksar viNyaaS karNaa
बहुत;much, very - bahuT
एक्सचेंज;to exchange - exCHenj
करंसी;currency - karansii
मूल्यवर्ग;denominations  - mulyavarg
के लिए;for - ke liye         
तक;until, till - Tak
बार;a bar - baar
आपका;your,you - aapkaa
किराये पर लेना;to (take,hire on) rent - kiraaye par LeNaa
सेल फोन;cell phone - sel fon
टेलीफोन कार्ड;telephone card - teliifon kaard
पेफोन;payphone - pefone
तीखा;hot (spicy) - Tiikhaa
फ्रेंच;French - french
जापानी;Japanese - jaapaanii
दूध के पधार्थ;dairy products - doodh ke padharth
पुलिस;police - pulis
लोग ;People - Log
नाम;name - naam
धन्यवाद;Thank you. (formal) - DHanyavaaD
शुक्रिया;Thank you. (colloquial) - SHukriyaa 
बहुत;very much - bahuT
छ:;six - CHHeh
किराए पर ;to,on rent - kirae par
स्कूटर;scooter,moped - skootar
बोलना;to say - bolnaa
अकेली;alone, single (said by a female) - akelii
सीधे;straight - siiDHe
समय;time  - samay
दोपहर;midday - Dopahar
आधी रात;midnight - aaDHii raaT
सवा;quarter - savaa
आप का स्वागत है　　　;You’re welcome. - aapkaa svaagaT hai
कोई बात नहीं;It's nothing. - koii baaT naheen
स्वागत है;welcome - svaagaT hai
कृपया;please - kripyaa
यह;this (object) - yah 
वह;that (object) - vah 
नमस्कार;hello. (formal or plural) - namaskaar
शुभ रात्री;good night - SHuBH raaTrii
नमस्ते;good bye - namasTe
नमस्कार;good-bye (formal or plural) - namaskaar 
शुभ;good - SHuBH
शाकाहारी;vegetarian - shaakaahaarii
बस ;bus - bas
माफ कीजिये;I'm sorry. (formal) - maaf kiijiye
माफ करो;I'm sorry. (informal) - maaf karo
क्षमा कीजिये;I'm sorry. (formal) - KSHamaa kiijiye
कोई बात नहीं;No problem.,It doesn't matter. - koii baaT nahiin
क्षमा;forgive - ksamaa
माफ करना;to forgive - maaf karnaa
क्षमा करना;to forgive - KSHamaa karnaa
कितने;how many - kiTne
किधर;where - kiDHar
कहाँ;where (variation) - kahaan
शौचघर;toilet (variation) - shauchghar
गुसलखाना;bathroom (Urdu) - GHusalKHaanaa
नाश्ता;breakfast  - naashtaa
कितने ;how much - kiTne
चाहिए;to be needed - chaahiye
कितने बजे;what time - kiTne baje
देना;to let, to give - Denaa
पीना;to smoke, to drink - peenaa
जी हाँ;yes - jii haan
जी नहीं;no - jii nahiin
मना;forbidden - manaa 
फिर मिलेंगे;see you later - phir milenge
फिर मिलते हैं;see you later (variation) - phir milTe hai
अलविदा;farewell - alviDaa
कितनी देर;how much,how long - kiTnii Der
गुज़रना ;to pass - guzarnaa
रोकना;to stop (transitive) - rokanaa
क्या आप;can you (formal) - kyaa aap
क्या तुम;can you (informal) - kyaa Tum
बोलना;to speak - bolnaa
चीनी;Chinese - chiinii
मदद;help - maDaD
अच्छा;pleasure - acchaa
बायां ;left - baayaan
दस;ten - Das
दोहराना;to repeat - Dohraanaa
धीरे से;slow - DHiire se
फिर से;again - phir se
पढ़ना;to read  - paDHnaa
मतलब ;mean - maTlab
उच्चारण करना;to pronounce - uCHCHaaraN karnaa
होना;to exist - honaa
वातमय;windy - vaaTmay
ले जाना;to take - le jaanaa
चाहिए;to need - chaahiye
मालूम;known, know well - maaloom
समझना;to understand - SamajhNaa
कितने;How many? - kiTne
मैं हूँ;I am - main hoon
खाना;to eat - khaanaa
वास्तव में;reality or really - vaasTav mein
पसंद करना;to like - pasanD karnaa
मेन्यू;menu - menyoo
पीना;to drink - peenaa
व्यंजन;dish, preparation - vyanjan
गोभी;cauliflower - goBHii
चाहिए;Would you like… - CHaahiye
बस;Enough!,Stop! - bas
बिल;check - bil
तीस;thirty - Tiis
चालीस;forty - CHaaliis
शाल;shawl - SHaal
चालीस;forty (40) - CHaaliis
पचास;fifty (50) - paCHaas
साठ;sixty (60) - saaTH
सत्तर;seventy (70) - saTTar
अस्सी;eighty - assii
नब्बे ;ninety  - nabbe
धूप;sunny,sun - dhoop
कितना;how much - kiTnaa
फोन;phone - fon
कम करना;to lower, decrease - kam karnaa
ईद;Eid - iiD
दिवाली;Diwali - Divaalii 
बधाई हो!;Congratulations! - baDHaaii ho!
नया साल !;new year - nayaa saal
क्रिसमस;christmas - krismas
ईस्टर;easter - iistar
कौनसा;which,what - kaunsaa
अगला;next - aglaa
स्टेशन;station - steSHan
टिकट;ticket - tikat
के लिए;for - ke Lie
फार्मेसी;pharmacy - farmesii
मुड़ना;to turn (in a direction) - mudnaa
एलर्जी;allergic - elarjii
एलर्जी की प्रतिक्रिया;allergic reaction - elarjii ki praTikriya
मूँगफली;peanuts - mungfallii
नारियल तेल;coconut oil - naariyal tel
बारिश;rain - baarish
के अंदर ;inside - ke anDar
भेजना;to send - BHejnaa
यहाँ;here - yahan
फ्री;free - frii
के पास;near - ke paas
लाइन;line - laain
लेना;to take - lena
छोटा;small  - CHotaa
प्रथम;first  - PRaTHam
द्वितीय;second - DviTiiya
राउंड ट्रिप;round-trip  - raund trip
वन वे;one-way  - van ve
है;to exist, be - hai
पास;near - paas
ए टी एम;ATM - ae tii em
जाना;to go - jaanaa
ट्रैफिक लाइट;traffic light - traefic laait
लिखना;to write - LikhNaa
पैन;pen - paen
तस्वीर;picture - Tasviir
रुपए ;rupee - rupaye
अंडा;egg - andaa
इटली;Italy - itlii
कमरा;room - kamraa
कल;tomorrow - kal
कीमत;cost - kiimaT
जन्मदिन;birthday - jaNmaDiN
टूथपेस्ट;toothpaste - tooTHpest
टूथब्रश;toothbrush - tooTHBRash
टैक्सी;taxi - taeksii
तौलिया;towel - Tauliyaa
दस;ten - Das
दाहिना;right - Dahinaa
दूध;milk - Doodh
पास;near - paas
पेट दर्द;stomachache - pet DarD
मांस;meat - maans
रिजर्वेशन;reservation - rijarveSHan
शर्ट;shirt - SHart
शून्य;zero - SHoonya
शैम्पू;shampoo - SHaimpoo
सर्दी;cold - sarDii
साबुन;soap - saabun
सिर दर्द;headache - sir dard
जाना;to go - jaanaa
पत्र;letter - paTr
लगा;feel - laga
