undefinedतोहफ़ा;gift, present - tohfaa
सजाना;to decorate - sajaana
पूछना;to ask - puuchNaa
कहना;to say - kahanaa
चिंता करना;to worry - chintaa karanaa
दिखाना;to show - dikhaanaa
छात्र;student, scholar - chhaaTra
जंगल;forest, desert, wild - jangal
पुलिस चौकी;police station	 - pulis CHauki
कक्षा;classroom, class - kakshaa
बारिश;rain - baarish
सीखना;to learn - seekhanaa
बैठना;to sit - baithNaa
रखना;to keep, to put away - rakhNaa
छूना;touch - chunaa
खाली;empty - khaaLii
कमरा;room - kamraa
गुलाब;rose - gulaab
टीका;vaccine - tiikaa
बाँह;arm - baanh
बाहर;outside - baahar
सर्दी;cold - sarDii
सामान;luggage - SaamaaN
कंधा;shoulder - kanDHaa
नीला;blue - neelaa
पीला;yellow - peelaa
नाश्ता;breakfast - naashtaa
लिखना;to write - LikhNaa
अनुरोध;request, recommendation - anuroDH
अभ्यास;practice, exercise, drill - aBHyaas
भूख;hungry - bhuukh
वक्त;time, moment - vakT
बताना;to tell - baTaaNaa
तैयारी;preparation - Taiyaarii
जगह;place - jagah
बादल;cloud - baaDaL
नीद  ;sleep - NiiD
अवसर;occasion, chance - avSar
तेल;oil - TeL
दादी;grandmother - DaaDii
चलती हूँ;I’ll be off, I’m leaving. - caLTii huun
पूरा;complete - puuraa
वापस;return, again - vaapaS
चाबी;key, keys - caabii
ढूंढना;to find, to search - dhuuNdhNaa
बाकी;remaining, left - baakii
ख़तम;finished, complete - khaTam
कचोरियाँ;fried stuffed Indian snacks - kacoriyaan
मामा,मामी;maternal uncle, maternal aunt - maamaa, maamii
नज़र;sight, view - Nazar
अंदर;inside, indoors - aNDar
तकलीफ़;difficulty - Takliif
तुफ़ान;storm - TuufaaN
भीगना;to get wet (intransitive verb.) - bhiigNaa
चादर; bedsheet - caaDar
सूखना;to dry (It’s an intransitive verb.) - SuukhNaa
खिड़कियाँ;windows - khidkiyaan
उपर;up, upstairs - upar
कमरे;rooms - kamre
घना;thick, concentrated, dense - ghaNaa
गरज;roar, sound of thunder - garajNaa
सिनेमा;movies, movie theater - SiNemaa
मना;refuse, deny, decline - maNaa
चाहे तो;if you like, if he likes, if she likes, if they like - caahe To
कहीं;somewhere - kahiin
छोड़ना;to leave, to let go, to release - chodNaa
निकलना;to come out, to emerge - NikaLNaa
हमेशा;always, forever - hamesaa
थकना  ;to get tired - THakNaa
मोहल्ला  ;neighborhood - mohaLLaa
अावाज़  ;sound, voice - aavaaz
भोर  ;early morning - bhor
चिल्लाना  ;to shout - ciLLaaNaa
जीतना  ;to win - jiiTNaa
पटाखें  ;firecrackers - pataakhen
फोड़ना  ;to burst, to blow up. (transitive verb) - phodNaa
वरना  ;otherwise, or else - varNaa
खाता; account, book, notebook - khaaTaa
खोलना;to open - khoLNaa
भरना;to fill (intransitive), to fill in (transitive) - bharNaa
जमा;submission - jamaa
पत्र  ;letter, note - paTra
इमारत  ;building, building structure - imaaraT
वगेरा;et cetera - vageraa
मत;not, don’t - maT
मंगाना;to order something - maNgaaNaa
अभी;right now - abhii
अाधा घंटा;half hour - aaDHaa ghaNtaa
बचाना;to save - bacaaNaa
मेहेंदी;henna paste - meheNDii
तरीका;way, manner - Tariikaa
गिनना;to count - giNNaa
साड़ियाँ;sari, an Indian women’s garment that’s a six-meter-long cloth wrapped around - Saadiyaan
फंसना;to get trapped, to get caught - phanSNaa
धूमधाम;fanfare, pomp, maginificence - DHuumDHaam
पूछना;to ask, to ask for - puuchNaa
पागल;mad, crazy, loony - paagaL
पड़ना;to be left over - padNaa
पहाड़ी;mountainous - pahaadii
स्वागत;welcome, greetings - SwaagaT
अौर;other, more - aur
साथ;company, with - SaaTH
पँहुचाना;to take to, to deliver to, to drop off at - panhucaaNaa
शादी वाला घर;a home where a wedding is taking place - saaDii vaaLe ghar
मानना;to believe - maaNNaa
यकीन;belief - yakiiN
आशिर्वाद;blessing - aasirvaaD
चुनना;to choose - cuNNaa
हिसाब;way, manner, calculation, total - hiSaab
पर्ची;parchment, paper, note - parcii
दुपट्टा;Indian long scarf - Dupattaa
करवाना;to get something done - karvaaNaa
अासमानी;sky blue - aaSmaaNii
बीच बीच में;in between, all across - biic biic mein
बिंदु;dot, drop - biNDu
पापा;father - paapaa
व्यापार;trade - vyaapaar
आसपास;nearby - aaSpaaS
तरफ़;direction, across - Taraf
मौका;chance, opportunity - maukaa
छुट्टी;holiday, vacation - chuttii
चारवा;fourth - caarvaa
नाचना;to dance - NaacNaa
वाह!;Wow!, Great!, Excellent!  (a reaction associated with a positive impression) - vaah!
खबर;news, information - khabar
न्योता;invitation - NyoTaa
मुलाकात;meeting - muLaakaaT
व्यस्त;busy, engaged - vyaST
दिखना;to be visible - DikhNaa
भरतनाट्यम;Bharatnatyam - classical traditional dance form from Southern India - bharaTnaatyam
डांडिया;special sticks used in a Gujarati folk dance - daaNdiyaa
राखी;a brother-sister festival, and the name of the thread a girl ties on her brother’s hand on that day, Common name for Brother-Sister Day, also the name of the bracelet tied on this day - raakhii
पहनना;to wear - pahaNNaa
नवरात्रि;a nine night-long festival, celebrated among Hindus - NavraaTri
मंज़ूर;accepted, agreed - maNzuur
छोड़ना;to leave - chodana 
निकलना  ;to get out, to come out, to leave - NikaLNaa
पता करना;to find out - paTaa karNaa
अचानक;suddenly - acaaNak
मगर;but - magar
शहर;town, city, urban dwelling - sahar
ढाई;two and a half - dhaaii
घुसना;to enter - ghuSNaa
ढाबा;roadside eatery, diner - dhaabaa
अच्छा खासा;well and good - acchaa khaaSaa
परांठा;fried bread, North Indian dish - paranthaa
मक्खन मारके;thickly buttered, with butter spread on - makkhaN maarNaa
मूह में पानी आ जाना;to drool, mouthwatering - muuh mein paaNii aa jaaNaa
नाप;measurement - Naap
सांस;breath, breathing - SaanS
लम्बा;long - Lambaa
बदन;body - baDaN
ढक्कन;lid, cover - dhakkaN
सींटी;whistle - Siintii
गिलास;glass - giLaaS
हिलाना;to shake, to stir - hiLaaNaa
बढ़ना;to grow, to advance - barhNaa
ताकी;so that - Taakii
गुना;times - guNaa
डांटना;to scold - daaNtNaa
ध्यान;focus, concentration - DHyaaN
धारणा;conception, idea, imagination - DHaaranaa
बदलना;to change - baDaLNaa
छवि;picture, image - chavi
सूझना;to occur to the mind - SuujhNaa
घबराना;to be nervous, to worry - ghabraaNaa
उपाय;remedy, solution - upaay
पढ़ाई;study, schooling - parhaaii
सफलता;success, achievement - SaphaLTaa
कामयाब;successful - kaamyaab
पंख;wing, feather - paNkh
दिखावा;ostentation, posturing - Dikhaavaa
नर;male - Nar
अयाल;mane - ayaaL
देखनेवाला;worth seeing - DekhNevaaLaa
बन्दर;monkey - baNDar
खिलाना;to feed - khiLaaNaa
काश;if only, I wish - kaas
देखभाल;caretaking - DekhbhaaL
फुर्ती;energy, agility - phurTii
नज़दीक;near, nearby - NazDiik
स्वतंत्रता;independence - SwaTaNTraTaa
दिवस;celebration, day - DivaS
नाटक;play, theater - Naatak
किरदार;role, character - kirDaar
निभाना;to portray - NibhaaNaa
पिछला;last (occasion) - pichLaa
मात्रा;amount, quantity - maaTraa
वाकिफ़;familiar with - vaakif
सला;advice, suggestion, recommendation - SaLaa
अन्दर;inside - aNDar
बेहतर;better, preferable - behTar
आवश्यकता;necessity, requirement - aavasyakTaa
ताज़ा;fresh - Taazaa
सही;correct, right - Sahii
अचार;Indian pickle - aCHaar
लगना; to feel, to seem - LagNaa
हलका; light - haLkaa
वज़न;weight - vazaN
खींचना;to pull, to pull along - khiincNaa
अासान  ; easy - aaSaaN
पहिया  ;wheel - pahiyaa
चलाना;to walk something - caLaaNaa
सुबह-सुबह;early morning - Subah-Subah
आजकल;these days, nowadays, recently - aajkaL
जाने लगना;to start going - jaaNe LagNaa
सोचना;to think - SocNaa
शुरु;start - suruu
आदत ;habit - aaDaT
ज़रूरत;need, necessity - zaruuraT
डेढ़;one and a half - derh
मंगाना;to order, to get delivered - maNgaaNaa
गेंदा;marigold - geNDaa
माफ़ी;apology - maafii
जल्द से जल्द;as fast as possible - jaLD Se jaLD
भिजवाना;to have sent - bhijvaaNaa
