undefinedदेर;late - Der
पड़ोसी;neighbor - Padosi
मेज़;table - mez
कब ;when  - kab 
कहाँ;where - kahaan
खेलना;to play - 
बहुत;much, very - bahuT
चाहती;to want (when said by a female) - chahTii
भी;also - bhee
है;is - hai
धन्यवाद;Thank you. (formal) - DHanyavaaD
रहती;to live (said by a female) - rahTii
से;from - se 	
अमरीका;America - amareekaa
वह ;he,she,it,that - voh
आप;you (formal) - aap
ठीक;okay - theek
क्या ;what - kyaa 	
कृपया;please - kripyaa
आती;to come - aaTii
भाई;brother - bhaai
आज 	;today 	 - aaj 	
भारतीय;Indian  - bhaaratiya
सब कुछ 	;everything - sab kuch 	
बाजार;market, mart, bazaar - baajaar
खाना ;food - khaaNaa
हाँ;yes 	 - haan
स्वादिष्ट ;to be delicious - swaaDisht
कितनी देर;how much,how long - kiTnii Der
बार;time - baar
क्या;what, question marker - kya
पसंद;preference - pasanD	
मुझे;I - mujhe
बहुत 	;very, a lot - bahuT
कैसा ;how - kaisa
लेकिन;but 	 - lekin
सच में 	;really 	 - sach mein
किला;castle, fort - kilaa
मशहूर;to be famous, to be renowned - mashhoor
कौनसी;which (feminine) - kaunsee
सेब;apple - seb
कैमरा 	;camera 	 - kaimara 	
शायद;maybe - shaayad 	
तुम्हारा 	;your (informal) - tumhaaraa
दिवाली;Diwali - Divaalii 
स्टेशन;station - steSHan
पेट;stomach - paet
कोई;someone - koii
कुछ;something - kuchh
वाह;Wow! - vaah
यहाँ;here - yahan
हर;every - har
आजकल;nowadays - aajkal
लेना;to take - lena
गाना;song - gaaNaa
लिखना;to write - LikhNaa
काम;work, job - kaam
करती;to do - karTii
मुश्किल;difficult - mushkil
कंप्यूटर इन्जीनिएर;Computer Engineer - kampyutar injiinear
होता;to be - hoTa
अध्यापिका;teacher - adhyapika
अध्यापिका का काम;teacher's job - adhyapika ka kaam
दर्द;ache, pain - DarD
और क्या;what else - aur kya
तकलीफ;problem - Takleef
थोड़ा;a little, some - thoda
सर;head - sar
दवाई;medicine - Dawaii
२ बार;two times - Do bar
लाओ;to bring - laao
आगे;to forward - aage
तस्वीर;photograph - Tasveer
खीचो;click, stretch - khiicho
सीधा;right (direction) - seeDHaa
पता;to know - paTa
लो;to take - lo
अच्छा;good, nice - achchha
मंजिल;floor, level of a building - manzil
फिर तो;then - fir To
पर;on - par
तीसरी;third - Teesri
प्रसाद;blessed food - prasaaD
चप्पल;footwear - chappal
उतारिये;to take off - uTaariye
चौकीदारनी;female guard - Caukīdāranī
चौकीदार;male guard - chaukiDaar
लगभग;about - lagbhag
क्यूँ;why - kyun
घूमने;sightseeing - ghoomne
के अलावा;apart from - ke alava
पहली;first - pehli 
कल;tomorrow - kal
खुश;happy - Khush
चाय;tea - chaay
दस;ten - Das
बाहर;outside - baahar
मंदिर;temple - manDir
विश्वविद्यालय;university - visvaviDyaaLay
शाम;evening - shaam
हाथ;hand - haaTH
आयेगा;will come - aayega
घंटे;hour - ghante
ताज महल;Taj Mahal - taaj mahal
हाय;oh no! - haaye
कितना;how - kiTna
सच;reality - sach
कुछ नही;nothing - kuch nahi
पियोगी;will you drink - piyogii
थोड़ी सी;a little - thodii sii
आवाज़;sound, voice - aawaaz
कौनसे;which - kaunse
राज्य;state, region - rajya
कम;less, lesser - kam
खरीदारी;shopping - khariDaarii
क्रेडिट कार्ड;credit card - kredit kaard 
सोना;gold, to rest or sleep - SoNaa
सच;reality, real, really - sach
क्या;what (question marker) - kya
साथ;with, together - saath
देखने;to see - dekhne
ज़रूर;surely - zaroor
बता;to tell - baTa
जाना;to go - jaanaa
बैठिये;please sit - baithiye
कितने का;how much - kiTne kaa
चाहियें;to want - chaahiyen
बोलती;to speak - bolTii
बनाया;to be made - banaya
नमक;salt - Namak
नमकीन;salty - namkeen
महंगा;expensive - mahangaa
दाल;lentils, pulses - Daal
नयी;new - nayii
बंगाल;Bengal State - bangaal
बंगाली;Bengali - bangaali 
भैया;brother - bhaiyaa
रास्ता;way - raasTa
फल वाला;fruit seller (female) - fal vaala
पाचों;all five - paanchon
थोड़ा;little - thodaa
रोज़;every day - roz
सैर;walk (noun) - saer
करने;to do - karne
चलो;let's go - chalo
एक  साथ;together - ek saaTH
मंगेतर;fiancee - mangetar
कौन;who - kaun
लम्बा;tall - lambaa
काफी;quite, enough - kaafii
समझदार;intelligent - samaJHDaar
ई-मेल;e-mail - ee-mael
बालियाँ;earrings - baaliyaan
सामने;across - saamne
मिलना;to get, to catch - miLNaa
ठण्ड;cold - thand
सबसे;the most - sabse
स्वादिष्ट;tasty - svaaDisht
उपहार;gift, present - uphaar
देना;to give - Diyaa
महंगी;expensive - mahangii
घड़ी;clock, watch - ghadii
इतनी;this much - iTnii
पटाखे;fireworks, crackers - patakhe
त्यौहार;festival - Tyohaar
मिलकर;together (conjugated verb in Hindi). - milkar
दिए;lamps - Diye
बड़ा;big, elder - badaa
छोटा;small, younger - chhotaa
पढ़ना;to study - padh
आने वाला है ;about to come , is coming up - aane vaala hai 
माँ ;mother - maa
